kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc
newdxx_g,BaO_nat002,64000,18643,64,1,8.470000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,2,8.457000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,3,8.425000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,4,8.432000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,5,8.478000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,6,8.444000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,7,8.416000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,8,8.327000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,9,8.688000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,10,8.311000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,11,8.389000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,12,8.317000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,13,8.486000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,14,8.744000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,15,8.395000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,16,8.496000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,17,8.387000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,18,8.413000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,64,19,8.351000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,0,8.378000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,1,8.395000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,2,8.273000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,3,8.452000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,4,8.517000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,5,8.431000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,6,8.582000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,7,8.377000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,8,8.383000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,9,8.365000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,10,8.348000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,11,8.324000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,12,8.454000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,13,8.291000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,14,8.220000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,15,8.242000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,16,8.268000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,17,8.309000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,18,8.245000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,72,19,8.346000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,0,10.108000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,1,10.121000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,2,10.104000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,3,10.025000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,4,10.286000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,5,10.074000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,6,10.280000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,7,10.333000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,8,10.225000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,9,10.134000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,10,9.850000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,11,10.113000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,12,10.023000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,13,10.030000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,14,10.192000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,15,10.098000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,16,10.045000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,17,9.951000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,18,10.016000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,1,19,9.855000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,0,8.403000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,1,8.372000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,2,8.332000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,3,8.363000,set1,flang-openmp,mimalloc
